task,category,primary_metric,n_models_evaluated,target_label,unit_phrase,response_field,positive_label,parent_task
ahi,phenotype_recovery,r2,12,apnea-hypopnea index from the overnight sleep study,events per hour,ahi_events_per_hour,,
ahi_followup,longitudinal_forecasting,r2,12,apnea-hypopnea index at the follow-up sleep study about two years after baseline,events per hour,ahi_followup_events_per_hour,,ahi
ahi_group_rank,ordering,pairwise_accuracy,14,apnea-hypopnea index from the overnight sleep study,events per hour,ranking_high_to_low,,
alt,phenotype_recovery,r2,12,serum alanine aminotransferase (ALT),U/L,alt_u_l,,
cimt,phenotype_recovery,r2,12,mean carotid intima-media thickness (ultrasound),mm,cimt_mm,,
cimt_group_rank,ordering,pairwise_accuracy,14,mean carotid intima-media thickness (ultrasound),mm,ranking_high_to_low,,
dbp,phenotype_recovery,r2,12,sitting diastolic blood pressure,mmHg,dbp_mmhg,,
dbp_followup,longitudinal_forecasting,r2,12,sitting diastolic blood pressure at the follow-up visit about two years after baseline,mmHg,dbp_followup_mmhg,,dbp
fatty_liver_disease_status,classification,roc_auc,14,curated metabolic-associated fatty liver disease phenotype,probability,p_fatty_liver,has metabolic-associated fatty liver disease (curated HPP phenotype from liver ultrasound plus metabolic criteria),
femoral_neck_bmd,phenotype_recovery,r2,12,DXA femoral neck bone mineral density,g/cm^2,femoral_neck_bmd_g_cm2,,
femoral_neck_bmd_group_rank,ordering,pairwise_accuracy,14,DXA femoral neck bone mineral density,g/cm^2,ranking_high_to_low,,
ferritin,phenotype_recovery,r2,12,serum ferritin,ng/mL,ferritin_ng_ml,,
fundus_artery_average_width,phenotype_recovery,r2,12,retinal fundus artery average width (AutoMorph),AutoMorph pixels,artery_width_pixels,,
gut_shannon_diversity,phenotype_recovery,r2,12,gut microbiome Shannon diversity (MetaPhlAn4 species),nats,shannon_diversity_nats,,
hba1c,phenotype_recovery,r2,14,HbA1c,percent (NGSP %),hba1c_percent,,
hba1c_group_rank,ordering,pairwise_accuracy,14,HbA1c,percent (NGSP %),ranking_high_to_low,,
hemoglobin,phenotype_recovery,r2,12,blood hemoglobin concentration,g/dL,hemoglobin_g_dl,,
hypertension_status,classification,roc_auc,14,curated hypertension phenotype,probability,p_hypertension,"has hypertension (curated HPP phenotype combining measured blood pressure, diagnoses and medication)",
hypothyroidism_status,classification,roc_auc,12,curated hypothyroidism phenotype,probability,p_hypothyroidism,"has hypothyroidism (curated HPP phenotype from TSH, diagnoses and thyroid medication)",
liver_attenuation,phenotype_recovery,r2,12,liver ultrasound attenuation coefficient (steatosis marker),dB/cm/MHz,liver_attenuation_db_cm_mhz,,
liver_attenuation_followup,longitudinal_forecasting,r2,12,liver ultrasound attenuation coefficient at the follow-up visit about two years after baseline,dB/cm/MHz,liver_attenuation_followup,,liver_attenuation
liver_stiffness,phenotype_recovery,r2,12,liver stiffness (ultrasound elastography),kPa,liver_stiffness_kpa,,
lumbar_spine_bmd,phenotype_recovery,r2,12,DXA lumbar spine (L1-L4) bone mineral density,g/cm^2,lumbar_bmd_g_cm2,,
maximum_bilateral_grip_strength,phenotype_recovery,r2,12,maximum hand grip strength (better hand),kg,grip_strength_kg,,
migraine_status,classification,roc_auc,12,curated migraine phenotype,probability,p_migraine,has migraine (curated HPP phenotype from questionnaires and diagnoses),
minimum_bilateral_abi,phenotype_recovery,r2,12,minimum ankle-brachial index (lower of both sides),ratio (unitless),abi_ratio,,
minimum_nocturnal_spo2,phenotype_recovery,r2,12,minimum nocturnal oxygen saturation (overnight sleep study),percent,min_spo2_percent,,
prediabetes_status,classification,roc_auc,14,curated prediabetes-or-diabetes phenotype,probability,p_prediabetes,"has prediabetes or diabetes (curated HPP phenotype from HbA1c, fasting glucose, diagnoses and medication)",
qt_interval,phenotype_recovery,r2,12,QT interval from the 12-lead ECG,milliseconds,qt_ms,,
resting_hr,phenotype_recovery,r2,12,resting heart rate from the 12-lead ECG,beats per minute,resting_hr_bpm,,
sbp,phenotype_recovery,r2,12,sitting systolic blood pressure,mmHg,sbp_mmhg,,
sbp_followup,longitudinal_forecasting,r2,12,sitting systolic blood pressure at the follow-up visit about two years after baseline,mmHg,sbp_followup_mmhg,,sbp
sbp_group_rank,ordering,pairwise_accuracy,14,sitting systolic blood pressure,mmHg,ranking_high_to_low,,
sleep_efficiency,phenotype_recovery,r2,12,sleep efficiency (overnight sleep study),percent,sleep_efficiency_percent,,
thigh_ankle_pwv,phenotype_recovery,r2,12,thigh-to-ankle pulse wave velocity,m/s,pwv_m_s,,
tsh,phenotype_recovery,r2,12,serum thyroid-stimulating hormone (TSH),mIU/L,tsh_miu_l,,
urate,phenotype_recovery,r2,12,serum uric acid,mg/dL,uric_acid_mg_dl,,
vat,phenotype_recovery,r2,14,DXA visceral adipose tissue (VAT) mass,grams,vat_mass_grams,,
vat_group_rank,ordering,pairwise_accuracy,14,DXA visceral adipose tissue (VAT) mass,grams,ranking_high_to_low,,
wbc,phenotype_recovery,r2,12,white blood cell count,10^3 cells/µL,wbc_10e3_per_ul,,
