task,category,primary_metric,model_key
ahi,phenotype_recovery,r2,claude-haiku-4.5
ahi,phenotype_recovery,r2,claude-opus-4.8
ahi,phenotype_recovery,r2,gemini-3.1-flash-lite
ahi,phenotype_recovery,r2,gemini-3.1-pro
ahi,phenotype_recovery,r2,gemini-3.7-flash
ahi,phenotype_recovery,r2,gpt-5.4-nano
ahi,phenotype_recovery,r2,gpt-5.6-luna
ahi,phenotype_recovery,r2,grok-4.3
ahi,phenotype_recovery,r2,llama-3.3-70b
ahi,phenotype_recovery,r2,llama-4-maverick
ahi,phenotype_recovery,r2,nova-pro
ahi,phenotype_recovery,r2,pixtral-large
ahi_followup,longitudinal_forecasting,r2,claude-haiku-4.5
ahi_followup,longitudinal_forecasting,r2,claude-opus-4.8
ahi_followup,longitudinal_forecasting,r2,claude-sonnet-5
ahi_followup,longitudinal_forecasting,r2,deepseek-v4-pro
ahi_followup,longitudinal_forecasting,r2,gemini-3.1-flash-lite
ahi_followup,longitudinal_forecasting,r2,gemini-3.7-flash
ahi_followup,longitudinal_forecasting,r2,gpt-5.4-nano
ahi_followup,longitudinal_forecasting,r2,gpt-5.6-luna
ahi_followup,longitudinal_forecasting,r2,llama-3.3-70b
ahi_followup,longitudinal_forecasting,r2,llama-4-maverick
ahi_followup,longitudinal_forecasting,r2,nova-pro
ahi_followup,longitudinal_forecasting,r2,pixtral-large
ahi_group_rank,ordering,pairwise_accuracy,claude-haiku-4.5
ahi_group_rank,ordering,pairwise_accuracy,claude-opus-4.8
ahi_group_rank,ordering,pairwise_accuracy,claude-sonnet-5
ahi_group_rank,ordering,pairwise_accuracy,deepseek-v4-pro
ahi_group_rank,ordering,pairwise_accuracy,gemini-3.1-flash-lite
ahi_group_rank,ordering,pairwise_accuracy,gemini-3.1-pro
ahi_group_rank,ordering,pairwise_accuracy,gemini-3.7-flash
ahi_group_rank,ordering,pairwise_accuracy,gpt-5.4-nano
ahi_group_rank,ordering,pairwise_accuracy,gpt-5.6-luna
ahi_group_rank,ordering,pairwise_accuracy,grok-4.3
ahi_group_rank,ordering,pairwise_accuracy,llama-3.3-70b
ahi_group_rank,ordering,pairwise_accuracy,llama-4-maverick
